"player.name","shotAssists","assists","fromThrowIns","regularPlay","fromFreeKick","fromKeeper","fromCounter","fromCorner","fromKickOff","fromGoalKick","fromOther","passLength","groundPass","highPass","lowPass","rightFoot","head","leftFoot","other","noTouch","dropKick","startX","startY","endX","endY","startPosition","endPosition","group"
"Ramona Bachmann",37,8,12,10,3,0,4,7,0,1,0,18.4249543459459,23,8,6,29,0,8,0,0,0,104.710810810811,46.9864864864865,103.1,39.6567567567568,29.5921287803823,20.4234751008127,"40"
"Guro Reiten",38,7,10,16,3,0,0,8,1,0,0,25.8178827394737,13,20,5,3,0,34,1,0,0,102.486842105263,37.2789473684211,106.476315789474,39.6026315789474,33.3319024782319,16.145324667698,"40"
"Jonna Andersson",41,7,10,13,7,2,1,6,1,1,0,26.8452418902439,17,19,5,3,0,38,0,0,0,99.3268292682927,16.9780487804878,107.146341463415,34.3658536585366,35.9271518074235,16.2045680908269,"50"
"Kim Little",38,7,7,9,6,2,2,11,0,1,0,23.7033236052632,21,15,2,35,0,3,0,0,0,98.8447368421053,45.3315789473684,105.189473684211,40.4763157894737,33.6356054377413,18.1109442366869,"40"
"Inessa Kaagman",33,6,4,9,6,1,2,9,0,2,0,28.8354982424242,13,17,3,7,1,25,0,0,0,97.5090909090909,41.1939393939394,102.706060606061,40.3515151515152,38.390817600406,20.2016986020389,"40"
"Julia Simic",25,6,7,6,4,0,3,2,1,2,0,22.73029016,12,11,2,17,1,7,0,0,0,89.576,34.7,101.604,36.664,37.7548843718553,21.5744520671376,"30"
"Charlie Wellings",34,5,9,15,2,1,3,1,1,1,1,19.6677020529412,19,10,5,26,2,6,0,0,0,96.0617647058824,42.4647058823529,101.635294117647,40.6411764705882,31.1827881378845,21.0759958535188,"40"
"Gemma Suzanne Davison",36,5,7,14,5,0,2,5,1,2,0,21.3922522777778,24,7,5,32,1,2,1,0,0,96.2694444444444,37.4166666666667,102.513888888889,40.2305555555556,32.8861584154081,21.4063821329366,"40"
"Jordan Nobbs",43,5,13,21,4,0,1,4,0,0,0,20.7528484930233,27,11,5,40,0,3,0,0,0,94.306976744186,41.8651162790698,104.790697674419,36.3674418604651,32.8516246511737,20.5742536666145,"50"
"Lauren Hemp",27,5,2,17,3,0,2,3,0,0,0,21.4115334444444,17,4,6,3,0,24,0,0,0,100.548148148148,26.437037037037,104.107407407407,38.8851851851852,27.2243931344575,19.7493443067465,"30"
