"","id","player.name","xA","play_pattern.name","pass.length","pass.angle","pass.height.name","pass.body_part.name","start.X","start.Y","end.X","end.Y","startDist","endDist","pass.outcome"
"275332","92ad05ae-1c78-40e8-8ac7-3d26f6df4745","Ria Percival",0.1304595,"Regular Play",33.42529,-1.0267853,"High Pass","Right Foot",98,64.1,115.3,35.5,32.6314265701026,6.50691939399898,"No goal"
"275558","e0f2e470-5dd9-41b7-baa9-4a11604d070e","Jessica Sigsworth",0.2796668,"Regular Play",18.413311,-1.6088215,"Low Pass","Right Foot",115.8,62,115.1,43.6,22.3973212684017,6.08029604542411,"Goal"
"275728","9e1381f7-e777-47ab-8564-fd51b5751b77","Martha Harris",0.06300544,"From Throw In",26.514902,1.7681919,"High Pass","Left Foot",117.2,9.7,112,35.7,30.4290979163037,9.08240056372763,"No goal"
"276017","975c1de1-eee0-405d-a26d-49d77f8612b8","Simone Magill",0.014225494,"From Free Kick",8.000625,2.8237946,"Low Pass","Right Foot",97.8,59.6,90.2,62.1,29.6141857899217,37.1005390796414,"No goal"
"276255","1a23a462-d852-461d-971c-7b351957fb4e","Maéva Clemaron",0.011734366,"From Throw In",23.607838,1.4091295,"Ground Pass","Left Foot",74.5,47.3,78.3,70.6,46.0818836420561,51.7228189487,"No goal"
"276268","d11e7c92-97cf-4df5-b044-19fc5eb5a3c5","Jackie Groenen",0.076502524,"From Goal Kick",9.3,1.5707964,"Ground Pass","Right Foot",75.2,9.5,75.2,18.8,54.1967711215345,49.562889342733,"No goal"
"276282","9e73702c-7e37-45de-b31d-68b3b6da6ae0","Hayley Ladd",0.12212894,"Regular Play",17.105846,-0.6984808,"Ground Pass","Right Foot",92.9,43.4,106,32.4,27.3124513729544,15.9298462013919,"No goal"
"276359","9958a66c-4ece-40a9-a038-1417bc807f37","Jackie Groenen",0.074651405,"From Throw In",47.581192,-0.61365294,"Low Pass","Right Foot",55.7,53,94.6,25.6,65.6009908461755,29.1979451331768,"No goal"
"276556","4646b572-211a-4b6d-9b24-19d308a2fe9a","Jessica Sigsworth",0.05988032,"From Free Kick",6.9180923,-1.498459,"Low Pass","Other",107.2,54.5,107.7,47.6,19.3414063604486,14.4585614775468,"No goal"
"276922","6b466d4a-1bd3-4024-945a-c7853f9dfda1","Leah Galton",0.07660028,"Regular Play",13.433167,1.1571071,"Ground Pass","Left Foot",91.4,1.2,96.8,13.5,48.2016597224618,35.2205905685864,"Goal"
"277080","9e8ebe56-7a05-45e9-b269-98d42bc5312b","Katie Zelem",0.022089545,"From Free Kick",39.87844,1.5080646,"High Pass","Right Foot",107,9,109.5,48.8,33.6154726279432,13.7,"No goal"
"277714","feadc56e-eb13-410c-be79-5826e284b95e","Jackie Groenen",0.018530592,"Regular Play",9.580188,-0.63723814,"Ground Pass","Right Foot",74.6,17.6,82.3,11.9,50.6252901226255,47.0202084214862,"No goal"
"277871","571906eb-97c5-4d28-be0b-0e1099c7c9cb","Maéva Clemaron",0.025525095,"From Counter",31.991562,0.6166158,"High Pass","Head",21.2,54.2,47.3,72.7,99.8152292989401,79.7156195484925,"No goal"
"277960","c94ae1d5-9820-4502-ba9b-a2510d96ffb4","Amy Turner",0.056742962,"From Throw In",13.792751,-2.0863454,"Ground Pass","Right Foot",112.3,69.7,105.5,57.7,30.681916498159,22.8809964817969,"No goal"
"278161","2191cb6b-038e-4ef6-8745-359754e127d1","Lauren James",0.020567475,"From Corner",27.413319,2.4155562,"Ground Pass","Right Foot",106.1,9.4,85.6,27.6,33.6090761551102,36.566651473713,"No goal"
"278318","cd718222-85ff-451b-8cd0-56f303dccd96","Hannah Cain",0.040820222,"Regular Play",35.421604,1.0957856,"Ground Pass","Right Foot",74.1,17.6,90.3,49.1,51.0741617650256,31.0628395353677,"No goal"
"278480","607677c3-77cb-413c-8025-f76efbe32b10","Kirsty Hanson",0.075950995,"From Keeper",16.420109,-0.43368384,"Ground Pass","Left Foot",89.3,32.8,104.2,25.9,31.53299858878,21.1766380712331,"No goal"
"278766","231746d2-969d-47e6-a1c1-cce03656b458","Chantelle Boye-Hlorkah",0.20648275,"From Throw In",46.369385,-1.0666304,"High Pass","Right Foot",88.5,73.2,110.9,32.6,45.7655984337581,11.7290238297993,"No goal"
"278789","d877efa9-720c-4de9-91b6-4f5390cd3d58","Simone Magill",0.01946713,"Regular Play",16.919811,1.0648459,"Low Pass","Right Foot",89.5,40.2,97.7,55,30.500655730656,26.8754534845461,"No goal"
"278839","ca14ec28-c16e-417a-a717-ab4636c81bed","Chantelle Boye-Hlorkah",0.029775422,"Regular Play",9.617692,2.3708992,"Ground Pass","Right Foot",116.6,6.6,109.7,13.3,33.5726078820219,28.6178266120962,"No goal"
